time,weathercode (wmo code),temperature_2m_max (Â°C),temperature_2m_min (Â°C),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),winddirection_10m_dominant (Â°)
2022-10-01,53,15.1,6.6,4.50,0.00,12.5,270
2022-10-02,53,13.2,9.9,4.30,0.00,21.0,175
2022-10-03,53,12.9,9.5,2.10,0.00,31.4,148
2022-10-04,51,14.2,8.9,0.70,0.00,25.3,158
2022-10-05,3,16.3,8.0,0.00,0.00,17.0,230
2022-10-06,51,19.0,9.0,0.20,0.00,17.3,191
2022-10-07,1,17.4,4.9,0.00,0.00,14.1,263
2022-10-08,51,19.0,11.3,0.70,0.00,16.9,223
2022-10-09,51,12.5,5.5,0.10,0.00,20.7,170
2022-10-10,1,14.5,3.4,0.00,0.00,17.7,302
2022-10-11,51,14.1,8.5,0.20,0.00,20.1,180
2022-10-12,3,13.7,5.0,0.00,0.00,9.4,181
2022-10-13,2,14.5,5.7,0.00,0.00,14.8,303
2022-10-14,51,15.2,7.3,0.10,0.00,11.8,295
2022-10-15,51,17.4,8.2,0.20,0.00,19.2,274
2022-10-16,51,18.9,12.3,0.10,0.00,15.9,252
2022-10-17,51,20.1,11.6,0.20,0.00,16.1,248
2022-10-18,63,17.5,11.6,12.30,0.00,20.9,181
2022-10-19,53,11.9,5.3,1.70,0.00,21.9,141
2022-10-20,3,9.0,2.5,0.00,0.00,11.7,171
2022-10-21,51,9.6,3.0,1.50,0.00,16.3,298
2022-10-22,53,12.5,7.2,4.40,0.00,15.9,217
2022-10-23,51,15.3,9.2,0.60,0.00,17.2,189
2022-10-24,53,16.6,9.4,1.20,0.00,13.1,261
2022-10-25,61,15.1,11.0,13.60,0.00,15.9,195
2022-10-26,51,13.8,9.6,0.30,0.00,15.2,194
2022-10-27,51,16.1,7.0,0.10,0.00,8.2,225
2022-10-28,3,16.7,9.1,0.00,0.00,14.4,244
2022-10-29,51,17.4,11.4,0.10,0.00,24.5,188
2022-10-30,53,15.0,8.9,1.90,0.00,11.3,175
2022-10-31,51,12.8,7.4,0.30,0.00,8.8,315
2022-11-01,51,13.2,10.4,0.10,0.00,8.3,280
2022-11-02,51,14.2,10.0,0.30,0.00,16.2,179
2022-11-03,2,11.7,6.2,0.00,0.00,16.6,214
2022-11-04,51,10.9,6.5,0.60,0.00,19.9,326
2022-11-05,53,9.6,8.3,7.30,0.00,15.9,305
2022-11-06,3,9.9,4.3,0.00,0.00,11.3,208
2022-11-07,3,11.3,4.6,0.00,0.00,15.8,250
2022-11-08,3,13.7,7.1,0.00,0.00,12.4,243
2022-11-09,3,11.8,7.1,0.00,0.00,14.9,256
2022-11-10,53,11.3,7.2,3.50,0.00,16.4,198
2022-11-11,3,11.0,6.3,0.00,0.00,16.3,197
2022-11-12,51,9.3,6.5,0.20,0.00,13.6,178
2022-11-13,51,9.7,8.0,0.80,0.00,8.1,232
2022-11-14,3,8.4,6.1,0.00,0.00,14.7,303
2022-11-15,3,8.7,3.8,0.00,0.00,10.6,292
2022-11-16,51,5.6,2.3,2.90,0.00,19.0,31
2022-11-17,3,2.1,-0.8,0.00,0.00,19.2,15
2022-11-18,71,-0.0,-3.3,0.00,0.28,15.6,56
2022-11-19,71,-1.5,-4.7,0.00,0.28,11.9,280
2022-11-20,3,0.2,-4.8,0.00,0.00,12.9,293
2022-11-21,3,1.8,-5.5,0.00,0.00,13.3,306
2022-11-22,3,2.9,-1.1,0.00,0.00,11.7,335
2022-11-23,71,2.9,-1.2,0.00,0.07,13.4,350
2022-11-24,73,-0.9,-2.3,0.00,3.43,9.8,51
2022-11-25,71,0.9,-3.3,0.40,0.70,7.2,266
2022-11-26,51,1.5,-0.2,0.70,0.00,8.7,136
2022-11-27,71,2.6,-1.1,1.00,0.21,9.9,219
2022-11-28,3,3.2,0.4,0.00,0.00,15.1,323
2022-11-29,3,3.1,-0.7,0.00,0.00,14.5,331
2022-11-30,3,1.3,-0.8,0.00,0.00,13.1,338
2022-12-01,3,1.2,-1.6,0.00,0.00,10.5,7
2022-12-02,3,-1.1,-2.9,0.00,0.00,13.0,6
2022-12-03,73,0.4,-2.6,0.00,1.05,12.2,346
2022-12-04,51,2.6,-1.1,0.10,0.00,19.4,329
